day	num_rats	Status
2010-02-26	11	Pending
2010-02-20	9	Pending
2017-07-09	46	Closed
2010-02-21	10	Pending
2010-02-22	24	Pending
2010-02-23	13	Pending
2010-02-24	25	Pending
2010-02-25	23	Pending
2010-03-02	17	Pending
2010-03-03	21	Pending
2017-07-19	70	Closed
2017-07-12	55	Closed
2017-07-12	33	Pending
2010-03-04	25	Pending
2010-03-05	28	Pending
2010-03-06	10	Pending
2017-07-14	47	Closed
2017-07-14	24	Pending
2010-02-27	7	Pending
2010-02-28	10	Pending
2011-12-03	2	Pending
2011-12-14	22	Closed
2011-12-15	26	Closed
2011-12-15	5	Pending
2011-12-09	20	Closed
2011-12-10	6	Closed
2017-10-17	2	Assigned
2017-10-16	2	Assigned
2011-12-11	12	Closed
2011-12-11	4	Pending
2011-12-12	22	Closed
2011-12-12	1	Pending
2011-12-13	12	Closed
2011-12-13	4	Pending
2011-12-14	4	Pending
2011-12-19	24	Closed
2011-12-20	22	Closed
2011-12-20	1	Pending
2011-12-21	16	Closed
2011-12-22	15	Closed
2011-12-21	2	Pending
2011-12-22	2	Pending
2011-12-23	12	Closed
2011-12-23	2	Pending
2011-12-16	13	Closed
2011-12-16	2	Pending
2011-12-17	9	Closed
2011-12-17	3	Pending
2011-12-18	8	Closed
2011-12-18	3	Pending
2011-12-19	1	Pending
2011-12-25	3	Closed
2011-12-26	11	Closed
2011-12-26	2	Pending
2011-12-27	17	Closed
2011-12-28	23	Closed
2011-12-27	7	Pending
2011-12-28	3	Pending
2011-12-29	9	Pending
2011-12-29	18	Closed
2012-01-02	14	Closed
2018-02-12	13	Pending
2011-12-30	12	Closed
2011-12-30	3	Pending
2011-12-31	3	Pending
2011-12-31	8	Closed
2012-01-01	6	Closed
2012-01-01	3	Pending
2012-01-02	6	Pending
2011-12-24	2	Pending
2011-12-24	2	Closed
2012-01-04	3	Pending
2012-01-04	15	Closed
2012-01-05	26	Closed
2012-01-05	2	Pending
2012-01-06	1	Pending
2012-01-06	20	Closed
2012-01-07	16	Closed
2012-01-08	8	Closed
2012-01-08	2	Pending
2012-01-09	24	Closed
2012-01-03	16	Closed
2012-01-03	2	Pending
2012-01-13	8	Pending
2012-01-12	30	Closed
2012-01-12	5	Pending
2012-01-13	16	Closed
2012-01-14	11	Closed
2012-01-14	1	Pending
2012-01-15	7	Closed
2012-01-15	3	Pending
2012-01-16	5	Closed
2012-01-16	3	Pending
2012-01-10	15	Closed
2012-01-09	4	Pending
2012-01-10	1	Pending
2012-01-11	6	Pending
2012-01-11	23	Closed
2012-01-17	26	Closed
2012-01-18	30	Closed
2012-01-17	5	Pending
2012-01-18	1	Pending
2012-01-19	26	Closed
2012-01-20	3	Pending
2012-01-19	1	Pending
2012-01-20	20	Closed
2017-10-17	46	Closed
2012-01-21	9	Closed
2012-01-22	14	Closed
2012-01-22	2	Pending
2012-01-23	20	Closed
2012-01-23	5	Pending
2012-01-24	35	Closed
2012-01-31	22	Closed
2012-02-01	26	Closed
2012-01-31	1	Pending
2012-02-01	3	Pending
2012-01-24	2	Pending
2012-01-25	26	Closed
2012-01-26	22	Closed
2012-01-25	6	Pending
2012-01-26	2	Pending
2012-01-27	25	Closed
2012-01-27	3	Pending
2012-01-28	16	Closed
2012-01-28	2	Pending
2012-01-29	12	Closed
2012-01-30	30	Closed
2012-01-30	1	Pending
